id;lat;long;modo
352;45.74337333;-37.66720833;barco
353;-16.88372167;151.31620167;barco
354;49.09865333;-63.70170667;barco
355;43.72356559664293;-16.238272127424686;barco
356;46.81801667;-26.93515;barco
357;46.57548333;-23.42648333;barco
358;46.00953167;-19.98031833;barco
359;47.22986;-29.87997167;barco
360;45.8308961427074;-53.766846751094;barco
361;18.86360833;72.24044667;barco
362;30.8961;-20.46076;barco
363;26.69517167;-40.35099167;barco
364;23.79971833;-47.539840000000005;barco
365;13.581205;-90.18045833;barco
366;16.56478;-99.87247667;barco
367;-18.48566333;-15.97048333;barco
368;22.84451667;-78.93528333;barco
369;-20.38173333;-11.04211667;barco
370;-22.36768333;-8.01676667;barco
371;22.25455333;91.68508333;barco
372;20.13828250164969;90.85067467040372;barco
373;-15.29519;63.43002667;barco
374;12.19633333;126.73443333;barco
375;-11.54086667;122.01631667;barco
376;-16.0968;119.31518333;barco
377;-19.90268667;116.84095;barco
378;-4.33989333;146.18871;barco
379;-2.00847;145.517145;barco
380;13.40583333;81.47425;barco
381;42.22971333;31.684995;barco
382;6.227035;-12.78819667;barco
383;4.1722;-8.7027;barco
384;5.95346667;-78.55793333;barco
385;11.50763;61.914245;barco
386;12.80154667;63.39588833;barco
387;13.83779833;51.384545;barco
388;-35.06579167;-16.15229167;barco
389;-12.11744833;-37.11461833;barco
390;0.94098833;-28.41163;barco
391;36.062965050922;-23.06884110804385;barco
392;32.13887667;-50.11556833;barco
393;16.53322333;-59.68231833;barco
394;-31.9545;-10.0888;barco
395;50.60476667;-141.8247;barco
396;46.25913333;-128.36310167;barco
397;53.88141833;172.44339833;barco
398;41.313008133469694;140.21202075692776;barco
399;-11.309245;77.677945;barco
400;-32.46369667;-14.344675;barco
401;-37.00441667;6.7191600000000005;barco
402;-29.59603;-29.44957333;barco
403;-32.04842;-18.85462167;barco
404;-28.06543333;-12.88276667;barco
405;-36.72613167;-46.03985667;barco
406;13.12702667;100.84829667;barco
407;47.400838691396864;-10.801740935481131;barco
